SNR_132	23:57:46.7	−32:35:22.4	43.5 ± 0.4	–	−0.49 ± 0.01	−0.56 ± 0.01	–	2.78	n	y	n	n	n	23.66 ± 0.64
SNR_133	23:57:46.7	−32:34:52.6	2.5 ± 0.1	–	−0.40 ± 0.04	−0.66 ± 0.04	–	0.80	n	y	n	n	n	24.90 ± 0.67
SNR_134	23:57:46.8	−32:35:10.3	8.0 ± 0.2	–	−0.63 ± 0.03	−0.46 ± 0.03	–	1.49	n	y	n	n	n	23.25 ± 0.80
SNR_135	23:57:47.0	−32:35:47.8	13.9 ± 0.2	–	−0.44 ± 0.02	−0.47 ± 0.02	–	1.74	n	y	n	n	n	27.23 ± 0.85
SNR_136	23:57:47.2	−32:35:23.5	40.0 ± 0.2	13.99 ± 0.11	0.06 ± 0.01	−0.20 ± 0.01	0.26 ± 0.01	1.01	y	y	y	y	y	69.53 ± 4.53
SNR_137	23:57:47.4	−32:35:24.7	29.0 ± 0.2	–	−0.50 ± 0.01	−0.51 ± 0.01	–	1.03	n	y	n	n	n	24.50 ± 0.61
SNR_138	23:57:47.4	−32:35:00.1	15.0 ± 0.2	–	−0.59 ± 0.01	−0.51 ± 0.02	–	1.33	n	y	n	n	n	24.09 ± 0.70
SNR_139	23:57:48.0	−32:35:41.5	7.1 ± 0.1	–	−0.46 ± 0.02	−0.60 ± 0.03	–	1.20	n	y	n	n	n	25.36 ± 0.75
SNR_140	23:57:48.2	−32:35:30.1	1.9 ± 0.1	–	−0.31 ± 0.06	−0.55 ± 0.07	–	0.80	y	y	n	n	n	27.26 ± 0.81
SNR_141	23:57:48.2	−32:35:31.7	2.4 ± 0.1	–	−0.40 ± 0.05	−0.67 ± 0.06	–	0.80	n	y	n	n	n	24.28 ± 0.63
SNR_142	23:57:48.3	−32:35:13.9	36.6 ± 0.2	–	−0.68 ± 0.01	−0.50 ± 0.01	–	1.63	n	y	n	n	n	22.05 ± 0.58
SNR_143	23:57:48.4	−32:35:10.6	7.5 ± 0.2	–	−0.63 ± 0.02	−0.49 ± 0.03	–	1.28	n	y	n	n	n	22.04 ± 0.72
SNR_144	23:57:48.7	−32:35:25.6	34.3 ± 0.3	–	−0.65 ± 0.01	−0.62 ± 0.01	–	1.82	n	y	n	n	n	20.68 ± 0.57
SNR_145	23:57:49.1	−32:35:39.1	20.8 ± 0.2	–	−0.55 ± 0.01	−0.57 ± 0.02	–	1.75	n	y	n	n	n	27.59 ± 0.78
SNR_146	23:57:49.2	−32:35:16.4	33.3 ± 0.3	–	−0.60 ± 0.01	−0.57 ± 0.01	–	1.83	n	y	n	n	n	24.84 ± 0.68
SNR_147	23:57:49.6	−32:35:45.7	32.2 ± 0.2	–	−0.67 ± 0.01	−0.54 ± 0.01	–	1.22	n	y	n	n	n	28.51 ± 0.72
SNR_148	23:57:49.9	−32:35:45.9	54.6 ± 0.5	–	−0.61 ± 0.01	−0.59 ± 0.01	–	1.38	n	y	n	n	n	28.90 ± 0.76
SNR_149	23:57:49.9	−32:35:00.8	38.1 ± 0.3	–	−0.62 ± 0.01	−0.70 ± 0.01	–	1.60	n	y	n	n	n	21.68 ± 0.55
SNR_150	23:57:50.0	−32:35:09.2	12.0 ± 0.1	–	−0.61 ± 0.01	−0.52 ± 0.02	–	0.86	n	y	n	n	n	27.50 ± 0.71
SNR_151	23:57:50.1	−32:35:06.1	12.5 ± 0.1	–	−0.56 ± 0.01	−0.59 ± 0.01	–	1.28	n	y	n	n	n	25.66 ± 0.63
